Home Team,Away Team,Bookmaker,Bet Type,Team,Odds
Toledo Rockets,Ball State Cardinals,BetRivers,spreads,Toledo Rockets,1.82
Bowling Green Falcons,Kent State Golden Flashes,FanDuel,h2h,Bowling Green Falcons,5.7
Bowling Green Falcons,Kent State Golden Flashes,FanDuel,h2h,Kent State Golden Flashes,1.13
Bowling Green Falcons,Kent State Golden Flashes,FanDuel,spreads,Bowling Green Falcons,1.83
Bowling Green Falcons,Kent State Golden Flashes,FanDuel,spreads,Kent State Golden Flashes,1.93
Bowling Green Falcons,Kent State Golden Flashes,DraftKings,h2h,Bowling Green Falcons,5.5
Bowling Green Falcons,Kent State Golden Flashes,DraftKings,h2h,Kent State Golden Flashes,1.14
Bowling Green Falcons,Kent State Golden Flashes,DraftKings,spreads,Bowling Green Falcons,1.83
Bowling Green Falcons,Kent State Golden Flashes,DraftKings,spreads,Kent State Golden Flashes,1.91
Bowling Green Falcons,Kent State Golden Flashes,BetMGM,h2h,Bowling Green Falcons,5.0
Bowling Green Falcons,Kent State Golden Flashes,BetMGM,h2h,Kent State Golden Flashes,1.16
Bowling Green Falcons,Kent State Golden Flashes,BetMGM,spreads,Bowling Green Falcons,1.8
Bowling Green Falcons,Kent State Golden Flashes,BetMGM,spreads,Kent State Golden Flashes,1.95
Bowling Green Falcons,Kent State Golden Flashes,Bovada,h2h,Bowling Green Falcons,5.5
Bowling Green Falcons,Kent State Golden Flashes,Bovada,h2h,Kent State Golden Flashes,1.13
Bowling Green Falcons,Kent State Golden Flashes,Bovada,spreads,Bowling Green Falcons,1.95
Bowling Green Falcons,Kent State Golden Flashes,Bovada,spreads,Kent State Golden Flashes,1.8
Bowling Green Falcons,Kent State Golden Flashes,BetRivers,h2h,Bowling Green Falcons,5.5
Bowling Green Falcons,Kent State Golden Flashes,BetRivers,h2h,Kent State Golden Flashes,1.1
Bowling Green Falcons,Kent State Golden Flashes,BetRivers,spreads,Bowling Green Falcons,1.8
Bowling Green Falcons,Kent State Golden Flashes,BetRivers,spreads,Kent State Golden Flashes,1.83
Michigan St Spartans,Purdue Boilermakers,DraftKings,h2h,Michigan St Spartans,2.0
Michigan St Spartans,Purdue Boilermakers,DraftKings,h2h,Purdue Boilermakers,1.77
Michigan St Spartans,Purdue Boilermakers,DraftKings,spreads,Michigan St Spartans,1.87
Michigan St Spartans,Purdue Boilermakers,DraftKings,spreads,Purdue Boilermakers,1.87
Michigan St Spartans,Purdue Boilermakers,FanDuel,h2h,Michigan St Spartans,2.26
Michigan St Spartans,Purdue Boilermakers,FanDuel,h2h,Purdue Boilermakers,1.62
Michigan St Spartans,Purdue Boilermakers,FanDuel,spreads,Michigan St Spartans,1.93
Michigan St Spartans,Purdue Boilermakers,FanDuel,spreads,Purdue Boilermakers,1.83
Michigan St Spartans,Purdue Boilermakers,BetMGM,h2h,Michigan St Spartans,2.0
Michigan St Spartans,Purdue Boilermakers,BetMGM,h2h,Purdue Boilermakers,1.77
Michigan St Spartans,Purdue Boilermakers,BetMGM,spreads,Michigan St Spartans,1.87
Michigan St Spartans,Purdue Boilermakers,BetMGM,spreads,Purdue Boilermakers,1.87
Michigan St Spartans,Purdue Boilermakers,Bovada,h2h,Michigan St Spartans,1.95
Michigan St Spartans,Purdue Boilermakers,Bovada,h2h,Purdue Boilermakers,1.8
Michigan St Spartans,Purdue Boilermakers,Bovada,spreads,Michigan St Spartans,1.87
Michigan St Spartans,Purdue Boilermakers,Bovada,spreads,Purdue Boilermakers,1.87
Michigan St Spartans,Purdue Boilermakers,BetRivers,h2h,Michigan St Spartans,2.12
Michigan St Spartans,Purdue Boilermakers,BetRivers,h2h,Purdue Boilermakers,1.65
Michigan St Spartans,Purdue Boilermakers,BetRivers,spreads,Michigan St Spartans,1.81
